title_text;link_href
Python como base de programación;https://platzi.com/clases/2299-estructuras-datos-python/37643-python-como-base-de-programacion/
Elementos de la programación en Python;https://platzi.com/clases/2299-estructuras-datos-python/37644-elementos-de-la-programacion-en-python/
Tipos de colecciones;https://platzi.com/clases/2299-estructuras-datos-python/37645-tipos-de-colecciones/
Operaciones esenciales en colecciones;https://platzi.com/clases/2299-estructuras-datos-python/37646-operaciones-esenciales-en-colecciones/
Colecciones incorporadas en Python;https://platzi.com/clases/2299-estructuras-datos-python/37647-colecciones-incorporadas-en-python/
Arrays;https://platzi.com/clases/2299-estructuras-datos-python/37648-arrays/
Crear un array;https://platzi.com/clases/2299-estructuras-datos-python/37649-crear-un-array/
Arrays de dos dimensiones;https://platzi.com/clases/2299-estructuras-datos-python/37650-arrays-de-dos-dimensiones/
Nodos y singly linked list;https://platzi.com/clases/2299-estructuras-datos-python/37651-nodos-y-singly-linked-list/
Crear nodos;https://platzi.com/clases/2299-estructuras-datos-python/37652-crear-nodos/
Crear singly linked list;https://platzi.com/clases/2299-estructuras-datos-python/37653-crear-singly-linked-list/
Operaciones en single linked structures;https://platzi.com/clases/2299-estructuras-datos-python/37654-operaciones-en-single-linked-structures/
Operaciones a detalle;https://platzi.com/clases/2299-estructuras-datos-python/37655-operaciones-a-detalle/
Circular linked list;https://platzi.com/clases/2299-estructuras-datos-python/37656-circular-linked-list/
Double linked list;https://platzi.com/clases/2299-estructuras-datos-python/37657-double-linked-list/
¿Qué son stacks?;https://platzi.com/clases/2299-estructuras-datos-python/37658-que-son-stacks/
Crear un stack;https://platzi.com/clases/2299-estructuras-datos-python/37659-crear-un-stack/
¿Qué son las queues?;https://platzi.com/clases/2299-estructuras-datos-python/37660-que-son-las-queues/
Queue basada en listas;https://platzi.com/clases/2299-estructuras-datos-python/37639-queue-basada-en-listas/
Queue basada en dos stacks;https://platzi.com/clases/2299-estructuras-datos-python/37640-queue-basada-en-dos-stacks/
Queue basada en nodos;https://platzi.com/clases/2299-estructuras-datos-python/37641-queue-basada-en-nodos/
Reto: simulador de playlist musical;https://platzi.com/clases/2299-estructuras-datos-python/37642-reto-simulador-de-playlist-musical/
Más allá de las estructuras lineales;https://platzi.com/clases/2299-estructuras-datos-python/37661-mas-alla-de-las-estructuras-lineales/
